Data,Umidita R.,Batteria,Temperatura
2016-01-05 09:21:12,"5,9","8,5","58,9"
2016-01-05 09:51:12,"5,9","8,4","58,9"
2016-01-05 10:21:12,"5,9","8,6","58,9"
2016-01-05 10:51:12,"5,9","8,6",58
2016-01-05 11:21:12,"5,9","8,5","58,5"
2016-01-05 11:51:12,"5,9","8,6","58,9"
2016-01-05 12:21:12,"5,9","8,6",58
2016-01-05 12:51:12,"5,9","8,7","58,5"
2016-01-05 13:21:12,"5,9","8,7","57,6"
2016-01-05 13:51:12,"5,9","8,7","58,5"
2016-01-05 14:21:12,"5,9","8,8","58,5"
2016-01-05 14:51:12,"5,9","8,7",58
2016-01-05 15:21:12,"5,9","8,8","58,5"
2016-01-05 15:51:12,"5,9","8,8",58
2016-01-05 16:21:12,"5,9","8,8","58,5"
2016-01-05 16:51:12,"5,9","8,9","57,7"
2016-01-05 17:21:12,"5,9","8,9","58,1"
2016-01-05 17:51:12,"5,9",9,"58,1"
2016-01-05 18:21:12,"5,9","8,9","57,7"
2016-01-05 18:51:12,"5,9",9,"58,5"
2016-01-05 19:21:12,"5,9",9,"58,1"
2016-01-05 19:51:12,"5,9",9,"58,1"
2016-01-05 20:21:12,"5,9","9,1","58,1"
2016-01-05 20:51:12,"5,9",9,"57,7"
2016-01-05 21:21:12,"5,9",9,"58,1"
2016-01-05 21:51:12,"5,9","9,1","58,1"
2016-01-05 22:21:12,"5,9",9,"57,7"
2016-01-05 22:51:12,"5,9",9,"58,5"
2016-01-05 23:21:12,"5,9","9,1","58,1"
2016-01-05 23:51:12,"5,9",9,"57,7"
2016-01-06 00:21:12,"5,9",9,"58,1"
2016-01-06 00:51:12,"5,9",9,"57,7"
2016-01-06 01:21:12,"5,9",9,"58,5"
2016-01-06 01:51:12,"5,9","8,9","58,1"
2016-01-06 02:21:12,"5,9",9,"58,5"
2016-01-06 02:51:12,"5,9","8,9","58,1"
2016-01-06 03:21:12,"5,9",9,"58,5"
2016-01-06 03:51:12,"5,9","8,9","58,1"
2016-01-06 04:21:12,"5,9","8,9","58,5"
2016-01-06 04:51:12,"5,9","8,8","57,7"
2016-01-06 05:21:12,"5,9","8,8",58
2016-01-06 05:51:12,"5,9","8,8","58,5"
2016-01-06 06:21:12,"5,9","8,8",58
2016-01-06 06:51:12,"5,9","8,8","58,5"
2016-01-06 07:21:12,"5,9","8,8",58
2016-01-06 07:51:12,"5,9","8,8","58,5"
2016-01-06 08:21:12,"5,9","8,8",58
2016-01-06 08:51:12,"5,9","8,9","58,5"
2016-01-06 09:21:12,"5,9","8,9","57,7"
2016-01-06 09:51:12,"5,9","8,8","58,1"
2016-01-06 10:21:12,"5,9","8,9","58,5"
2016-01-06 10:51:12,"5,9","8,8","57,7"
2016-01-06 11:21:12,"5,9",9,58
2016-01-06 11:51:12,"5,9",9,"57,7"
2016-01-06 12:21:12,"5,9",9,"58,1"
2016-01-06 12:51:12,"5,9",9,"57,7"
2016-01-06 13:21:12,"5,9","9,1","58,1"
2016-01-06 13:51:12,"5,9","9,1","57,7"
2016-01-06 14:21:12,"5,9","9,1","58,1"
2016-01-06 14:51:12,"5,9","9,1","57,7"
2016-01-06 15:21:12,"5,9","9,1","57,7"
2016-01-06 15:51:12,"5,9","9,2","57,7"
2016-01-06 16:21:12,"5,9","9,1","57,1"
2016-01-06 16:51:12,"5,9","9,3","58,1"
2016-01-06 17:21:12,"5,9","9,2","57,1"
2016-01-06 17:51:12,"5,9","9,2","58,1"
2016-01-06 18:21:12,"5,9","9,3","57,7"
2016-01-06 18:51:12,"5,9","9,3","57,1"
2016-01-06 19:21:12,"5,9","9,4","58,1"
2016-01-06 19:51:12,"5,9","9,4","57,7"
2016-01-06 20:21:12,"5,9","9,3","57,2"
2016-01-06 20:51:12,"5,9","9,3","58,1"
2016-01-06 21:21:12,"5,9","9,4","57,7"
2016-01-06 21:51:12,"5,9","9,3","57,2"
2016-01-06 22:21:12,"5,9","9,3","58,1"
2016-01-06 22:51:12,"5,9","9,3","58,1"
2016-01-06 23:21:12,"5,9","9,2","57,7"
2016-01-06 23:51:12,"5,9","9,2","58,1"
2016-01-07 00:21:12,"5,9","9,2","57,7"
2016-01-07 00:51:12,"5,9","9,1","58,1"
2016-01-07 01:21:12,"5,9","9,1","57,7"
2016-01-07 01:51:12,"5,9","9,1","58,1"
2016-01-07 02:21:12,"5,9",9,"57,7"
2016-01-07 02:51:12,"5,9",9,"58,1"
2016-01-07 03:21:12,"5,9","8,9","58,1"
2016-01-07 03:51:12,"5,9","8,9","58,5"
2016-01-07 04:21:12,"5,9","8,8","58,5"
2016-01-07 04:51:12,"5,9","8,8","58,5"
2016-01-07 05:21:12,"5,9","8,8","58,5"
2016-01-07 05:51:12,"5,9","8,7","58,5"
2016-01-07 06:21:12,"5,9","8,7","58,5"
2016-01-07 06:51:12,"5,9","8,6","58,5"
2016-01-07 07:21:12,"5,9","8,6","58,5"
2016-01-07 07:51:12,"5,9","8,6","58,5"
2016-01-07 08:21:12,"5,9","8,6",58
2016-01-07 08:51:12,"5,9","8,6",58
2016-01-07 09:21:12,"5,9","8,5",58
2016-01-07 09:51:12,"5,9","8,5",58
2016-01-07 10:21:12,"5,9","8,6",58
2016-01-07 10:51:12,"5,9","8,5","58,5"
2016-01-07 11:21:12,"5,9","8,6","58,5"
2016-01-07 11:51:12,"5,9","8,6","58,5"
2016-01-07 12:21:12,"5,9","8,6",58
2016-01-07 12:51:12,"5,9","8,6","57,6"
2016-01-07 13:21:12,"5,9","8,6",58
2016-01-07 13:51:12,"5,9","8,6","58,5"
2016-01-07 14:21:12,"5,9","8,7",59
2016-01-07 14:51:12,"5,9","8,7",58
2016-01-07 15:21:12,"5,9","8,7","58,5"
2016-01-07 15:51:12,"5,9","8,8",59
2016-01-07 16:21:12,"5,9","8,8",58
2016-01-07 16:51:12,"5,9","8,9","58,5"
2016-01-07 17:21:12,"5,9","8,8","57,7"
2016-01-07 17:51:12,"5,9","8,9","58,5"
2016-01-07 18:21:12,"5,9","8,8","57,7"
2016-01-07 18:51:12,"5,9","8,9","58,5"
2016-01-07 19:21:12,"5,9","8,8","57,7"
2016-01-07 19:51:12,"5,9","8,8",58
2016-01-07 20:21:12,"5,9","8,9","58,5"
2016-01-07 20:51:12,"5,9","8,8","58,1"
2016-01-07 21:21:12,"5,9","8,8","58,5"
2016-01-07 21:51:12,"5,9","8,8","58,5"
2016-01-07 22:21:12,"5,9","8,8","57,7"
2016-01-07 22:51:12,"5,9","8,7",58
2016-01-07 23:21:12,"5,9","8,7","58,5"
2016-01-07 23:51:12,"5,9","8,7","58,5"
2016-01-08 00:21:12,"5,9","8,6",59
2016-01-08 00:51:12,"5,9","8,7",59
2016-01-08 01:21:12,"5,9","8,6",58
2016-01-08 01:51:12,"5,9","8,6","58,5"
2016-01-08 02:21:12,"5,9","8,6","58,5"
2016-01-08 02:51:12,"5,9","8,6","58,5"
2016-01-08 03:21:12,"5,9","8,5",59
2016-01-08 03:51:12,"5,9","8,5","58,9"
2016-01-08 04:21:12,"5,9","8,5","58,9"
2016-01-08 04:51:12,"5,9","8,4","58,9"
2016-01-08 05:21:12,"5,9","8,4","58,9"
2016-01-08 05:51:12,"5,9","8,4","58,9"
2016-01-08 06:21:12,"5,9","8,4","58,9"
2016-01-08 06:51:12,"5,9","8,4","58,9"
2016-01-08 07:21:12,"5,9","8,4","58,9"
2016-01-08 07:51:12,"5,9","8,4","58,9"
2016-01-08 08:21:12,"5,9","8,3","58,9"
2016-01-08 08:51:12,"5,9","8,3","58,4"
2016-01-08 09:21:12,"5,9","8,3","58,4"
2016-01-08 09:51:12,"5,9","8,3","58,4"
2016-01-08 10:21:12,"5,9","8,4","58,4"
2016-01-08 10:51:12,"5,9","8,4","58,4"
2016-01-08 11:21:12,"5,9","8,4","58,9"
2016-01-08 11:51:12,"5,9","8,4","58,9"
2016-01-08 12:21:12,"5,9","8,4","58,9"
2016-01-08 12:51:12,"5,9","8,4",58
2016-01-08 13:21:12,"5,9","8,4","58,4"
2016-01-08 13:51:12,"5,9","8,4","58,4"
2016-01-08 14:21:12,"5,9","8,4","58,9"
2016-01-08 14:51:12,"5,9","8,5","58,9"
2016-01-08 15:21:12,"5,9","8,5",58
2016-01-08 15:51:12,"5,9","8,5","58,5"
2016-01-08 16:21:12,"5,9","8,5","58,9"
2016-01-08 16:51:12,"5,9","8,7","58,9"
2016-01-08 17:21:12,"5,9","8,7",58
2016-01-08 17:51:12,"5,9","8,7","58,5"
2016-01-08 18:21:12,"5,9","8,8",59
2016-01-08 18:51:12,"5,9","8,7",58
2016-01-08 19:21:12,"5,9","8,6","58,5"
2016-01-08 19:51:12,"5,9","8,7",59
2016-01-08 20:21:12,"5,9","8,7","58,5"
2016-01-08 20:51:12,"5,9","8,8",59
2016-01-08 21:21:12,"5,9","8,7",58
2016-01-08 21:51:12,"5,9","8,8","58,5"
2016-01-08 22:21:12,"5,9","8,7",58
2016-01-08 22:51:12,"5,9","8,7","58,5"
2016-01-08 23:21:12,"5,9","8,8",59
2016-01-08 23:51:12,"5,9","8,7",58
2016-01-09 00:21:12,"5,9","8,7","58,5"
2016-01-09 00:51:12,"5,9","8,8",59
2016-01-09 01:21:12,"5,9","8,7",58
2016-01-09 01:51:12,"5,9","8,8",59
2016-01-09 02:21:12,"5,9","8,8","58,5"
2016-01-09 02:51:12,"5,9","8,8",59
2016-01-09 03:21:12,"5,9","8,8","58,5"
2016-01-09 03:51:12,"5,9","8,8","58,5"
2016-01-09 04:21:12,"5,9","8,8",58
2016-01-09 04:51:12,"5,9","8,8","58,5"
2016-01-09 05:21:12,"5,9","8,8",59
2016-01-09 05:51:12,"5,9","8,9","58,5"
2016-01-09 06:21:12,"5,9","8,8","58,1"
2016-01-09 06:51:12,"5,9","8,9","58,5"
